id,activity,api,cputime,day,filesize,language,latency,memory,platform,time
437,upload,native,0.22,6/24/16,155,python,47.62196541,19200,azure,00:00:23
438,upload,multicloud,0.12,6/24/16,155,python,59.16380882,15508,azure,00:00:24
439,upload,native,1.78,6/24/16,155,java,463,72704,aws,00:00:24
440,upload,native,0.21,6/24/16,155,python,73.42386246,19108,azure,00:00:24
441,upload,multicloud,0.12,6/24/16,155,python,43.68686676,15568,azure,00:00:24
442,upload,native,1.89,6/24/16,155,java,70,59016,azure,00:00:24
443,upload,native,0.22,6/24/16,155,python,57.15203285,19208,azure,00:00:24
444,upload,multicloud,0.11,6/24/16,155,python,58.81714821,15516,azure,00:00:24
445,upload,native,0.23,6/24/16,155,python,60.97197533,19104,azure,00:00:24
446,upload,multicloud,0.11,6/24/16,155,python,49.71599579,15424,azure,00:00:25
447,upload,multicloud,0.11,6/24/16,155,python,61.95306778,15508,azure,00:00:25
448,upload,multicloud,6.84,6/24/16,155,java,1139,110784,azure,00:00:25
449,upload,native,0.28,6/24/16,155,python,84.72299576,19132,azure,00:00:25
450,upload,native,1.8,6/24/16,155,java,464,74612,aws,00:00:25
451,upload,multicloud,3.57,6/24/16,155,java,900,211608,aws,00:00:25
452,upload,multicloud,0.1,6/24/16,155,python,136.0630989,15580,azure,00:00:25
453,upload,native,0.24,6/24/16,155,python,156.1019421,19124,azure,00:00:25
454,upload,native,1.8,6/24/16,155,java,140,59324,azure,00:00:25
455,upload,multicloud,0.1,6/24/16,155,python,61.28907204,15568,azure,00:00:26
456,upload,native,0.23,6/24/16,155,python,85.31713486,19068,azure,00:00:26
457,upload,multicloud,0.1,6/24/16,155,python,48.15387726,15556,azure,00:00:26
458,upload,native,0.22,6/24/16,155,python,95.52884102,19084,azure,00:00:26
459,upload,multicloud,0.1,6/24/16,155,python,109.6830368,15428,azure,00:00:26
460,upload,native,1.85,6/24/16,155,java,525,76656,aws,00:00:26
461,upload,multicloud,0.14,6/24/16,155,python,62.49809265,15520,azure,00:00:27
462,upload,native,0.21,6/24/16,155,python,62.97802925,19052,azure,00:00:27
463,upload,native,1.73,6/24/16,155,java,78,58904,azure,00:00:27
464,upload,multicloud,0.16,6/24/16,155,python,74.26095009,15456,azure,00:00:27
465,upload,native,0.21,6/24/16,155,python,52.60705948,19180,azure,00:00:27
466,upload,multicloud,0.16,6/24/16,155,python,65.33813477,15576,azure,00:00:27
467,upload,native,0.19,6/24/16,155,python,79.86307144,19184,azure,00:00:27
468,upload,multicloud,3.54,6/24/16,155,java,830,208756,aws,00:00:27
469,upload,multicloud,0.15,6/24/16,155,python,58.84814262,15420,azure,00:00:27
470,upload,native,0.19,6/24/16,155,python,77.76999474,19064,azure,00:00:28
471,upload,native,1.86,6/24/16,155,java,470,77472,aws,00:00:28
472,upload,multicloud,0.14,6/24/16,155,python,60.05501747,15572,azure,00:00:28
473,upload,native,1.81,6/24/16,155,java,78,59148,azure,00:00:28
474,upload,native,0.26,6/24/16,155,python,106.2381268,19056,azure,00:00:28
475,upload,multicloud,0.13,6/24/16,155,python,97.3110199,15504,azure,00:00:28
476,upload,multicloud,0.14,6/24/16,155,python,53.55906487,15440,azure,00:00:28
477,upload,native,0.33,6/24/16,155,python,70.21403313,19264,azure,00:00:29
478,upload,multicloud,0.1,6/24/16,155,python,86.0710144,15444,azure,00:00:29
479,upload,native,0.26,6/24/16,155,python,123.3949661,19128,azure,00:00:29
480,upload,multicloud,0.09,6/24/16,155,python,54.03995514,15520,azure,00:00:29
481,upload,native,1.81,6/24/16,155,java,559,75212,aws,00:00:29
482,upload,multicloud,6.7,6/24/16,155,java,1122,107104,azure,00:00:29
483,upload,native,2.01,6/24/16,155,java,66,59404,azure,00:00:29
484,upload,multicloud,0.11,6/24/16,155,python,57.75213242,15524,azure,00:00:29
485,upload,native,0.25,6/24/16,155,python,71.72703743,19148,azure,00:00:29
486,upload,multicloud,3.37,6/24/16,155,java,785,208448,aws,00:00:30
487,upload,multicloud,0.13,6/24/16,155,python,170.4618931,15584,azure,00:00:30
488,upload,native,0.25,6/24/16,155,python,181.9360256,19180,azure,00:00:30
489,upload,multicloud,0.16,6/24/16,155,python,56.34188652,15520,azure,00:00:30
490,upload,native,0.24,6/24/16,155,python,65.94014168,19196,azure,00:00:30
491,upload,native,1.86,6/24/16,155,java,429,75980,aws,00:00:30
492,upload,multicloud,0.12,6/24/16,155,python,67.98505783,15512,azure,00:00:31
493,upload,native,1.9,6/24/16,155,java,71,58940,azure,00:00:31
494,upload,native,0.34,6/24/16,155,python,91.28785133,19084,azure,00:00:31
495,upload,multicloud,0.14,6/24/16,155,python,250.0710487,15580,azure,00:00:31
496,upload,native,0.23,6/24/16,155,python,73.92096519,19148,azure,00:00:31
497,upload,multicloud,0.14,6/24/16,155,python,55.50503731,15420,azure,00:00:31
498,upload,native,0.18,6/24/16,155,python,55.88579178,19200,azure,00:00:32
499,upload,native,1.82,6/24/16,155,java,496,75324,aws,00:00:32
500,upload,multicloud,0.13,6/24/16,155,python,51.65600777,15572,azure,00:00:32
501,upload,multicloud,3.55,6/24/16,155,java,793,214184,aws,00:00:32
502,upload,native,0.18,6/24/16,155,python,56.11515045,19152,azure,00:00:32
503,upload,multicloud,0.11,6/24/16,155,python,54.80408669,15568,azure,00:00:32
504,upload,native,0.2,6/24/16,155,python,71.31290436,19148,azure,00:00:32
505,upload,multicloud,0.11,6/24/16,155,python,142.2770023,15520,azure,00:00:32
506,upload,native,2.09,6/24/16,155,java,108,58816,azure,00:00:32
507,upload,native,0.22,6/24/16,155,python,67.59500504,19084,azure,00:00:33
508,upload,multicloud,0.13,6/24/16,155,python,72.96013832,15464,azure,00:00:33
509,upload,multicloud,0.12,6/24/16,155,python,56.00380898,15520,azure,00:00:33
510,upload,native,0.2,6/24/16,155,python,63.50803375,19124,azure,00:00:33
511,upload,native,1.9,6/24/16,155,java,467,75184,aws,00:00:33
512,upload,multicloud,6.67,6/24/16,155,java,985,106692,azure,00:00:33
513,upload,multicloud,0.15,6/24/16,155,python,60.36996841,15572,azure,00:00:33
514,upload,native,0.21,6/24/16,155,python,52.298069,19052,azure,00:00:33
515,upload,native,0.2,6/24/16,155,python,69.65708733,19180,azure,00:00:34
516,upload,native,1.8,6/24/16,155,java,63,59084,azure,00:00:34
517,upload,native,0.21,6/24/16,155,python,71.83599472,19128,azure,00:00:34
518,upload,multicloud,0.13,6/24/16,155,python,56.93912506,15388,azure,00:00:34
519,upload,multicloud,3.5,6/24/16,155,java,895,210788,aws,00:00:34
520,upload,native,1.8,6/24/16,155,java,426,76128,aws,00:00:34
521,upload,native,0.22,6/24/16,155,python,58.91609192,19144,azure,00:00:34
522,upload,multicloud,0.13,6/24/16,155,python,55.55915833,15424,azure,00:00:34
523,upload,native,0.2,6/24/16,155,python,57.41381645,19120,azure,00:00:35
524,upload,multicloud,0.15,6/24/16,155,python,59.74912643,15472,azure,00:00:35
525,upload,native,1.88,6/24/16,155,java,72,59340,azure,00:00:35
526,upload,multicloud,0.11,6/24/16,155,python,53.52401733,15568,azure,00:00:35
527,upload,native,0.23,6/24/16,155,python,67.43407249,19060,azure,00:00:35
528,upload,multicloud,0.13,6/24/16,155,python,53.96199226,15568,azure,00:00:35
529,upload,native,0.21,6/24/16,155,python,66.51496887,19192,azure,00:00:35
530,upload,native,1.81,6/24/16,155,java,428,72644,aws,00:00:36
531,upload,multicloud,0.13,6/24/16,155,python,47.48797417,15444,azure,00:00:36
532,upload,native,0.19,6/24/16,155,python,115.6179905,19208,azure,00:00:36
533,upload,multicloud,0.14,6/24/16,155,python,51.0828495,15512,azure,00:00:36
534,upload,native,0.18,6/24/16,155,python,60.66703796,19184,azure,00:00:36
535,upload,multicloud,0.13,6/24/16,155,python,57.79099464,15516,azure,00:00:36
536,upload,native,1.94,6/24/16,155,java,90,59296,azure,00:00:36
537,upload,native,0.17,6/24/16,155,python,51.60093308,19128,azure,00:00:36
538,upload,multicloud,0.13,6/24/16,155,python,51.10502243,15572,azure,00:00:37
539,upload,multicloud,3.5,6/24/16,155,java,1080,214844,aws,00:00:37
540,upload,native,0.19,6/24/16,155,python,65.67311287,19136,azure,00:00:37
541,upload,multicloud,0.14,6/24/16,155,python,52.84190178,15504,azure,00:00:37
542,upload,native,1.78,6/24/16,155,java,590,72828,aws,00:00:37
543,upload,native,0.17,6/24/16,155,python,64.55111504,19136,azure,00:00:37
544,upload,multicloud,6.14,6/24/16,155,java,925,104668,azure,00:00:37
545,upload,multicloud,0.12,6/24/16,155,python,48.76112938,15460,azure,00:00:37
546,upload,native,0.18,6/24/16,155,python,74.44095612,19208,azure,00:00:37
547,upload,multicloud,0.12,6/24/16,155,python,63.35711479,15508,azure,00:00:38
548,upload,native,1.65,6/24/16,155,java,49,59516,azure,00:00:38
549,upload,multicloud,0.12,6/24/16,155,python,53.48396301,15500,azure,00:00:38
550,upload,native,0.25,6/24/16,155,python,66.06292725,19148,azure,00:00:38
551,upload,multicloud,0.12,6/24/16,155,python,48.37203026,15508,azure,00:00:38
